Date,GoogleTrend,State
2012-12-30,54,BW
2013-01-06,61,BW
2013-01-13,50,BW
2013-01-20,53,BW
2013-01-27,55,BW
2013-02-03,55,BW
2013-02-10,53,BW
2013-02-17,62,BW
2013-02-24,53,BW
2013-03-03,62,BW
2013-03-10,53,BW
2013-03-17,64,BW
2013-03-24,59,BW
2013-03-31,60,BW
2013-04-07,69,BW
2013-04-14,53,BW
2013-04-21,66,BW
2013-04-28,53,BW
2013-05-05,57,BW
2013-05-12,64,BW
2013-05-19,58,BW
2013-05-26,63,BW
2013-06-02,57,BW
2013-06-09,60,BW
2013-06-16,64,BW
2013-06-23,58,BW
2013-06-30,61,BW
2013-07-07,47,BW
2013-07-14,60,BW
2013-07-21,59,BW
2013-07-28,67,BW
2013-08-04,57,BW
2013-08-11,65,BW
2013-08-18,68,BW
2013-08-25,71,BW
2013-09-01,51,BW
2013-09-08,60,BW
2013-09-15,53,BW
2013-09-22,62,BW
2013-09-29,53,BW
2013-10-06,59,BW
2013-10-13,55,BW
2013-10-20,59,BW
2013-10-27,54,BW
2013-11-03,58,BW
2013-11-10,56,BW
2013-11-17,63,BW
2013-11-24,66,BW
2013-12-01,72,BW
2013-12-08,71,BW
2013-12-15,93,BW
2013-12-22,58,BW
2013-12-29,58,BW
2014-01-05,71,BW
2014-01-12,55,BW
2014-01-19,73,BW
2014-01-26,53,BW
2014-02-02,61,BW
2014-02-09,59,BW
2014-02-16,63,BW
2014-02-23,58,BW
2014-03-02,60,BW
2014-03-09,58,BW
2014-03-16,70,BW
2014-03-23,59,BW
2014-03-30,61,BW
2014-04-06,60,BW
2014-04-13,71,BW
2014-04-20,59,BW
2014-04-27,75,BW
2014-05-04,76,BW
2014-05-11,62,BW
2014-05-18,73,BW
2014-05-25,61,BW
2014-06-01,69,BW
2014-06-08,70,BW
2014-06-15,76,BW
2014-06-22,60,BW
2014-06-29,79,BW
2014-07-06,59,BW
2014-07-13,70,BW
2014-07-20,69,BW
2014-07-27,70,BW
2014-08-03,72,BW
2014-08-10,76,BW
2014-08-17,82,BW
2014-08-24,69,BW
2014-08-31,82,BW
2014-09-07,67,BW
2014-09-14,72,BW
2014-09-21,63,BW
2014-09-28,71,BW
2014-10-05,69,BW
2014-10-12,71,BW
2014-10-19,72,BW
2014-10-26,65,BW
2014-11-02,77,BW
2014-11-09,74,BW
2014-11-16,72,BW
2014-11-23,83,BW
2014-11-30,89,BW
2014-12-07,86,BW
2014-12-14,100,BW
2014-12-21,78,BW
2014-12-28,71,BW
2015-01-04,75,BW
2015-01-11,72,BW
2015-01-18,67,BW
2015-01-25,89,BW
2015-02-01,75,BW
2015-02-08,73,BW
2015-02-15,82,BW
2015-02-22,68,BW
2015-03-01,83,BW
2015-03-08,70,BW
2015-03-15,85,BW
2015-03-22,66,BW
2015-03-29,88,BW
2015-04-05,68,BW
2015-04-12,80,BW
2015-04-19,74,BW
2015-04-26,84,BW
2015-05-03,82,BW
2015-05-10,79,BW
2015-05-17,89,BW
2015-05-24,76,BW
2015-05-31,87,BW
2015-06-07,74,BW
2015-06-14,88,BW
2015-06-21,73,BW
2015-06-28,82,BW
2015-07-05,73,BW
2015-07-12,82,BW
2015-07-19,75,BW
2015-07-26,94,BW
2012-12-30,54,BY
2013-01-06,59,BY
2013-01-13,46,BY
2013-01-20,53,BY
2013-01-27,45,BY
2013-02-03,50,BY
2013-02-10,49,BY
2013-02-17,50,BY
2013-02-24,48,BY
2013-03-03,48,BY
2013-03-10,47,BY
2013-03-17,54,BY
2013-03-24,55,BY
2013-03-31,51,BY
2013-04-07,53,BY
2013-04-14,45,BY
2013-04-21,54,BY
2013-04-28,48,BY
2013-05-05,51,BY
2013-05-12,56,BY
2013-05-19,49,BY
2013-05-26,64,BY
2013-06-02,52,BY
2013-06-09,52,BY
2013-06-16,62,BY
2013-06-23,49,BY
2013-06-30,54,BY
2013-07-07,47,BY
2013-07-14,67,BY
2013-07-21,53,BY
2013-07-28,65,BY
2013-08-04,55,BY
2013-08-11,61,BY
2013-08-18,61,BY
2013-08-25,60,BY
2013-09-01,50,BY
2013-09-08,60,BY
2013-09-15,46,BY
2013-09-22,54,BY
2013-09-29,52,BY
2013-10-06,59,BY
2013-10-13,48,BY
2013-10-20,60,BY
2013-10-27,56,BY
2013-11-03,61,BY
2013-11-10,48,BY
2013-11-17,63,BY
2013-11-24,54,BY
2013-12-01,66,BY
2013-12-08,72,BY
2013-12-15,79,BY
2013-12-22,56,BY
2013-12-29,57,BY
2014-01-05,61,BY
2014-01-12,47,BY
2014-01-19,62,BY
2014-01-26,55,BY
2014-02-02,64,BY
2014-02-09,51,BY
2014-02-16,62,BY
2014-02-23,50,BY
2014-03-02,62,BY
2014-03-09,49,BY
2014-03-16,59,BY
2014-03-23,51,BY
2014-03-30,59,BY
2014-04-06,57,BY
2014-04-13,65,BY
2014-04-20,53,BY
2014-04-27,67,BY
2014-05-04,66,BY
2014-05-11,52,BY
2014-05-18,67,BY
2014-05-25,49,BY
2014-06-01,59,BY
2014-06-08,57,BY
2014-06-15,63,BY
2014-06-22,56,BY
2014-06-29,71,BY
2014-07-06,55,BY
2014-07-13,69,BY
2014-07-20,57,BY
2014-07-27,73,BY
2014-08-03,67,BY
2014-08-10,69,BY
2014-08-17,76,BY
2014-08-24,66,BY
2014-08-31,74,BY
2014-09-07,62,BY
2014-09-14,63,BY
2014-09-21,57,BY
2014-09-28,70,BY
2014-10-05,67,BY
2014-10-12,62,BY
2014-10-19,68,BY
2014-10-26,56,BY
2014-11-02,71,BY
2014-11-09,68,BY
2014-11-16,70,BY
2014-11-23,86,BY
2014-11-30,90,BY
2014-12-07,87,BY
2014-12-14,100,BY
2014-12-21,74,BY
2014-12-28,69,BY
2015-01-04,70,BY
2015-01-11,63,BY
2015-01-18,64,BY
2015-01-25,70,BY
2015-02-01,68,BY
2015-02-08,66,BY
2015-02-15,74,BY
2015-02-22,66,BY
2015-03-01,65,BY
2015-03-08,64,BY
2015-03-15,76,BY
2015-03-22,62,BY
2015-03-29,72,BY
2015-04-05,66,BY
2015-04-12,71,BY
2015-04-19,66,BY
2015-04-26,77,BY
2015-05-03,75,BY
2015-05-10,63,BY
2015-05-17,73,BY
2015-05-24,62,BY
2015-05-31,75,BY
2015-06-07,65,BY
2015-06-14,78,BY
2015-06-21,66,BY
2015-06-28,80,BY
2015-07-05,68,BY
2015-07-12,83,BY
2015-07-19,68,BY
2015-07-26,77,BY
2012-12-30,73,BE
2013-01-06,70,BE
2013-01-13,64,BE
2013-01-20,64,BE
2013-01-27,55,BE
2013-02-03,67,BE
2013-02-10,57,BE
2013-02-17,63,BE
2013-02-24,54,BE
2013-03-03,66,BE
2013-03-10,61,BE
2013-03-17,66,BE
2013-03-24,67,BE
2013-03-31,60,BE
2013-04-07,70,BE
2013-04-14,56,BE
2013-04-21,67,BE
2013-04-28,64,BE
2013-05-05,65,BE
2013-05-12,64,BE
2013-05-19,62,BE
2013-05-26,80,BE
2013-06-02,62,BE
2013-06-09,62,BE
2013-06-16,73,BE
2013-06-23,70,BE
2013-06-30,83,BE
2013-07-07,67,BE
2013-07-14,78,BE
2013-07-21,69,BE
2013-07-28,74,BE
2013-08-04,68,BE
2013-08-11,72,BE
2013-08-18,65,BE
2013-08-25,75,BE
2013-09-01,61,BE
2013-09-08,72,BE
2013-09-15,64,BE
2013-09-22,66,BE
2013-09-29,65,BE
2013-10-06,70,BE
2013-10-13,65,BE
2013-10-20,69,BE
2013-10-27,63,BE
2013-11-03,68,BE
2013-11-10,64,BE
2013-11-17,70,BE
2013-11-24,73,BE
2013-12-01,86,BE
2013-12-08,75,BE
2013-12-15,100,BE
2013-12-22,71,BE
2013-12-29,70,BE
2014-01-05,72,BE
2014-01-12,56,BE
2014-01-19,66,BE
2014-01-26,56,BE
2014-02-02,73,BE
2014-02-09,57,BE
2014-02-16,70,BE
2014-02-23,57,BE
2014-03-02,66,BE
2014-03-09,54,BE
2014-03-16,72,BE
2014-03-23,53,BE
2014-03-30,60,BE
2014-04-06,57,BE
2014-04-13,71,BE
2014-04-20,54,BE
2014-04-27,71,BE
2014-05-04,69,BE
2014-05-11,60,BE
2014-05-18,75,BE
2014-05-25,61,BE
2014-06-01,71,BE
2014-06-08,62,BE
2014-06-15,66,BE
2014-06-22,55,BE
2014-06-29,72,BE
2014-07-06,62,BE
2014-07-13,75,BE
2014-07-20,62,BE
2014-07-27,83,BE
2014-08-03,77,BE
2014-08-10,67,BE
2014-08-17,73,BE
2014-08-24,63,BE
2014-08-31,73,BE
2014-09-07,57,BE
2014-09-14,73,BE
2014-09-21,56,BE
2014-09-28,67,BE
2014-10-05,64,BE
2014-10-12,64,BE
2014-10-19,70,BE
2014-10-26,63,BE
2014-11-02,74,BE
2014-11-09,64,BE
2014-11-16,63,BE
2014-11-23,83,BE
2014-11-30,81,BE
2014-12-07,83,BE
2014-12-14,100,BE
2014-12-21,86,BE
2014-12-28,69,BE
2015-01-04,70,BE
2015-01-11,61,BE
2015-01-18,62,BE
2015-01-25,71,BE
2015-02-01,67,BE
2015-02-08,69,BE
2015-02-15,69,BE
2015-02-22,60,BE
2015-03-01,66,BE
2015-03-08,59,BE
2015-03-15,72,BE
2015-03-22,58,BE
2015-03-29,69,BE
2015-04-05,64,BE
2015-04-12,65,BE
2015-04-19,58,BE
2015-04-26,69,BE
2015-05-03,67,BE
2015-05-10,58,BE
2015-05-17,75,BE
2015-05-24,68,BE
2015-05-31,74,BE
2015-06-07,61,BE
2015-06-14,70,BE
2015-06-21,60,BE
