Date,temperature_mean,temperature_max,precipitation_sum,sunshine_sum,State
2013-01-01,7.0066667,7.8025,2.0,0.0,BW
2013-01-02,3.7316666,5.1025,0.0,20666.965,BW
2013-01-03,5.515,6.3025,1.3,0.0,BW
2013-01-04,7.185833,7.5024996,0.5,0.0,BW
2013-01-05,6.0066667,6.3525,2.3000002,0.0,BW
2013-01-06,6.2483335,6.8025,0.4,0.0,BW
2013-01-07,6.0108333,7.0525,0.0,4043.1304,BW
2013-01-08,4.3858333,6.1525,0.0,25335.725,BW
2013-01-09,3.4441664,5.3025,0.2,19818.006,BW
2013-01-10,3.2150002,4.2025003,0.8,0.0,BW
2013-01-11,1.09,1.9525,0.0,24363.43,BW
2013-01-12,0.38166666,1.4025,0.4,125.15236,BW
2013-01-13,-0.5808333,0.9525,0.0,26428.057,BW
2013-01-14,-0.28499997,1.1025,0.1,7168.466,BW
2013-01-15,-0.24333341,2.8025,0.0,23418.15,BW
2013-01-16,-2.7225,-1.7974999,1.1,7430.5684,BW
2013-01-17,-3.1266668,-2.5475,3.4,0.0,BW
2013-01-18,-3.1558335,-1.8975,0.0,13450.329,BW
2013-01-19,-2.4475,-0.74749994,0.0,18795.324,BW
2013-01-20,-0.79749995,1.0525,0.8,15592.083,BW
2013-01-21,-0.04333332,1.7025,0.2,16675.586,BW
2013-01-22,1.2900001,2.6525,0.0,23825.844,BW
2013-01-23,0.4941667,1.7025,0.0,21714.309,BW
2013-01-24,-1.11,0.05250001,0.0,13399.616,BW
2013-01-25,-2.9766667,-1.9475,0.0,3172.9272,BW
2013-01-26,-2.7308333,0.35250002,0.0,27940.182,BW
2013-01-27,3.2858334,5.0525,2.3,4584.579,BW
2013-01-28,4.2858334,5.7524996,0.0,23620.51,BW
2013-01-29,7.060833,7.4525003,6.8,0.0,BW
2013-01-30,11.889999,13.202499,5.4,0.0,BW
2013-01-31,7.965,9.2525,1.5,28800.0,BW
2013-02-01,7.5025,8.3025,15.700001,0.0,BW
2013-02-02,2.8941667,4.8025,1.5,24704.902,BW
2013-02-03,2.4441667,3.3525,0.5,15847.301,BW
2013-02-04,4.9358335,6.0024996,3.3000002,0.0,BW
2013-02-05,3.9566667,5.9025,3.9,20334.654,BW
2013-02-06,1.565,2.3525,4.1,3624.5151,BW
2013-02-07,0.49833336,2.0525,1.8000001,23327.219,BW
2013-02-08,-0.20999996,1.2525,1.6,26448.771,BW
2013-02-09,-1.8308334,-0.5475,0.3,29075.45,BW
2013-02-10,-2.985,-0.64750004,0.0,29021.283,BW
2013-02-11,-1.1766666,0.7525,0.0,24394.309,BW
2013-02-12,-2.86,-1.3475,0.0,9088.159,BW
2013-02-13,-0.80583334,0.45250002,0.0,20199.598,BW
2013-02-14,-1.36,1.2025,0.0,28475.885,BW
2013-02-15,1.0483333,1.7525,2.1000001,0.0,BW
2013-02-16,2.6816666,3.8025,0.0,23263.59,BW
2013-02-17,2.4566667,4.4525003,0.1,11210.941,BW
2013-02-18,1.7483333,3.0525,0.0,30038.678,BW
2013-02-19,1.6566666,2.9525,2.7,0.0,BW
2013-02-20,-0.51416665,0.9525,0.0,24000.215,BW
2013-02-21,-1.785,-0.59749997,0.0,23176.535,BW
2013-02-22,-3.1850002,-2.2975,0.0,9830.196,BW
2013-02-23,-2.6391666,-1.0475,0.3,4217.947,BW
2013-02-24,-1.4183334,-0.34749997,0.1,13503.504,BW
2013-02-25,0.8733334,2.0025,0.0,16181.428,BW
2013-02-26,3.0108335,4.0525,3.5,0.0,BW
2013-02-27,3.0483334,4.5025,0.0,85.529366,BW
2013-02-28,3.54,4.7524996,0.0,243.7168,BW
2013-03-01,2.7608335,4.1525,0.0,9064.606,BW
2013-03-02,3.0941668,5.3525,0.0,31119.648,BW
2013-03-03,4.2525,7.1025,0.0,32400.0,BW
2013-03-04,6.4483333,10.1525,0.0,32400.0,BW
2013-03-05,9.74,14.0525,0.0,32400.0,BW
2013-03-06,11.044167,14.702499,0.0,19255.531,BW
2013-03-07,13.098332,16.0025,0.0,31685.572,BW
2013-03-08,13.490001,16.2025,0.2,27172.844,BW
2013-03-09,11.915,13.952499,0.3,31103.223,BW
2013-03-10,9.806666,12.702499,4.2,25729.475,BW
2013-03-11,4.4525,5.0525,2.3,0.0,BW
2013-03-12,5.994167,7.9025,3.0,2908.8347,BW
2013-03-13,-0.79749995,0.05250001,0.0,185.68863,BW
2013-03-14,0.20249999,1.8525,0.5,32400.0,BW
2013-03-15,-0.064166665,1.9525,0.0,32400.0,BW
2013-03-16,5.2941666,7.9525003,0.0,25508.088,BW
2013-03-17,5.3483334,7.2524996,2.8,8061.659,BW
2013-03-18,3.99,5.0525,7.4,0.0,BW
2013-03-19,6.2566667,8.0025,1.9,30945.912,BW
2013-03-20,6.8941665,8.6525,2.2,16543.414,BW
2013-03-21,5.0941668,7.1025,0.6,28052.703,BW
2013-03-22,6.7358327,8.7525,0.0,32418.129,BW
2013-03-23,3.115,4.1525,0.5,1914.1466,BW
2013-03-24,4.2358336,6.3025,0.0,26066.352,BW
2013-03-25,0.5066667,1.3525,0.3,0.0,BW
2013-03-26,-0.6308333,0.65250003,1.3,473.59085,BW
2013-03-27,0.7775,2.7025,0.0,33240.695,BW
2013-03-28,5.681667,8.0525,2.0,16562.879,BW
2013-03-29,4.9025,7.4025,0.0,34550.12,BW
2013-03-30,5.869167,7.3525,0.3,11591.953,BW
2013-03-31,3.2233334,5.0525,0.2,33153.633,BW
2013-04-01,4.0816665,6.0525,0.0,35349.89,BW
2013-04-02,6.0983334,8.4025,0.0,33887.785,BW
2013-04-03,5.7941666,7.0525,0.0,16097.982,BW
2013-04-04,8.435833,11.0525,0.0,32545.592,BW
2013-04-05,5.494167,7.2025003,0.0,8846.122,BW
2013-04-06,5.0733333,6.0024996,0.0,7250.819,BW
2013-04-07,5.6024995,6.7025003,0.0,21155.445,BW
2013-04-08,7.835833,10.1525,0.4,16248.118,BW
2013-04-09,8.415,10.702499,3.8,14646.44,BW
2013-04-10,10.5525,12.2525,0.8,29343.68,BW
2013-04-11,13.6275,16.0025,5.1,10962.994,BW
2013-04-12,12.335834,14.4025,0.3,31885.738,BW
2013-04-13,12.419167,14.1025,0.5,36000.0,BW
2013-04-14,18.044167,20.602499,0.0,32574.744,BW
2013-04-15,20.944166,23.5025,0.0,36000.0,BW
2013-04-16,18.556665,19.9525,0.5,32400.0,BW
2013-04-17,19.873333,22.2025,0.0,32867.363,BW
2013-04-18,18.469168,21.2525,0.0,33993.246,BW
2013-04-19,10.6275,13.0525,3.1000001,2603.7058,BW
2013-04-20,8.248333,8.9025,3.5,0.0,BW
2013-04-21,11.735833,13.0525,0.2,1080.4728,BW
2013-04-22,12.810833,13.6525,0.0,16753.75,BW
2013-04-23,15.081666,16.8025,0.0,36000.0,BW
2013-04-24,18.410833,20.5025,0.0,36000.0,BW
2013-04-25,20.539999,22.5025,0.0,34363.215,BW
2013-04-26,18.6525,22.352499,7.5,19939.8,BW
2013-04-27,6.835833,7.3525,7.3,0.0,BW
2013-04-28,9.335834,10.452499,0.2,0.0,BW
2013-04-29,10.4025,11.3525,2.0,0.0,BW
2013-04-30,11.5275,13.0525,2.5,3635.8928,BW
2013-05-01,17.356667,20.2525,0.0,31315.719,BW
2013-05-02,17.031668,19.0025,0.0,27246.197,BW
2013-05-03,13.960834,15.6025,2.9,971.9637,BW
2013-05-04,14.302501,15.6025,1.9,31852.707,BW
2013-05-05,17.664999,19.3025,0.2,36000.0,BW
2013-05-06,18.160833,20.102499,1.1,25181.576,BW
2013-05-07,17.531668,19.0525,1.3,36000.0,BW
2013-05-08,19.981667,22.0525,0.0,33344.73,BW
2013-05-09,17.769167,19.1525,0.2,13382.279,BW
2013-05-10,14.144166,15.8525,0.0,8601.6045,BW
2013-05-11,14.260833,15.7525,5.0,35716.555,BW
2013-05-12,10.756667,12.7525,2.9,26427.438,BW
2013-05-13,11.719167,12.8525,1.4,778.683,BW
2013-05-14,16.5275,18.102499,0.0,37374.594,BW
2013-05-15,16.719166,18.602499,0.4,22087.908,BW
2013-05-16,15.923333,17.9525,2.6,4366.075,BW
2013-05-17,11.965,12.452499,2.1000001,0.0,BW
2013-05-18,17.765,19.852499,0.0,36000.0,BW
2013-05-19,11.669167,14.1025,4.7000003,8167.1265,BW
2013-05-20,13.614999,15.8025,3.1000001,36387.28,BW
2013-05-21,13.327499,15.3025,2.1000001,28539.574,BW
2013-05-22,9.369166,10.4025,2.6000001,2372.3213,BW
2013-05-23,9.906667,13.3525,3.8,24222.404,BW
2013-05-24,9.431666,10.5525,0.5,37127.133,BW
2013-05-25,11.619166,12.8025,0.8,39342.523,BW
2013-05-26,7.2275004,7.9525003,10.5,0.0,BW
2013-05-27,14.665,16.2525,0.0,25383.244,BW
2013-05-28,18.44,20.3025,1.0,33219.53,BW
2013-05-29,10.1525,11.2525,4.9,18149.473,BW
2013-05-30,13.710834,15.1525,0.90000004,29243.326,BW
2013-05-31,12.594167,14.2525,18.9,0.0,BW
2013-06-01,12.256667,13.1025,17.2,0.0,BW
2013-06-02,13.285832,15.0025,0.0,21761.338,BW
2013-06-03,10.569167,11.9025,0.8,3327.446,BW
2013-06-04,17.215,18.7525,0.0,39600.0,BW
2013-06-05,19.606667,21.1525,0.0,39600.0,BW
2013-06-06,21.144167,22.5525,0.0,39600.0,BW
2013-06-07,20.981667,22.1525,0.1,39600.0,BW
2013-06-08,22.073334,23.4525,0.0,39312.55,BW
2013-06-09,18.935833,20.6525,0.70000005,28189.656,BW
2013-06-10,15.552501,16.9025,6.9,6487.5703,BW
2013-06-11,16.977499,18.7525,0.3,26770.629,BW
2013-06-12,21.344168,22.352499,0.0,36324.957,BW
2013-06-13,24.535833,26.4025,0.2,30860.77,BW
2013-06-14,17.173334,18.602499,0.6,31678.396,BW
2013-06-15,21.135834,22.9025,0.2,33469.2,BW
2013-06-16,22.781668,24.852499,0.0,39600.0,BW
2013-06-17,29.1775,31.5525,0.0,39092.168,BW
2013-06-18,29.64,31.7025,0.0,39600.0,BW
2013-06-19,31.110834,32.952503,0.0,39268.832,BW
2013-06-20,26.89,31.0025,8.1,37554.457,BW
2013-06-21,20.7775,22.2025,0.0,38159.797,BW
2013-06-22,20.660833,21.9525,0.1,33747.477,BW
2013-06-23,17.885832,18.9525,0.0,38289.547,BW
2013-06-24,15.744166,17.5525,2.8000002,33566.09,BW
2013-06-25,14.744166,16.3025,3.9,35911.367,BW
2013-06-26,14.473332,15.5025,0.0,36146.016,BW
2013-06-27,13.952499,15.1025,6.1,22149.107,BW
2013-06-28,16.3275,17.5025,0.4,38505.727,BW
2013-06-29,14.785832,16.6525,5.9,12789.119,BW
2013-06-30,16.798334,17.4525,0.0,23472.354,BW
2013-07-01,21.515,23.102499,0.0,39600.0,BW
2013-07-02,23.165,24.6525,0.0,38552.51,BW
2013-07-03,17.898333,18.5025,4.1,7198.6943,BW
2013-07-04,19.285833,20.102499,0.2,34720.117,BW
2013-07-05,21.539999,22.852499,0.0,35905.234,BW
2013-07-06,23.598333,25.102499,0.0,39600.0,BW
2013-07-07,23.973333,25.102499,0.2,39600.0,BW
2013-07-08,24.394167,26.0525,0.0,35904.7,BW
2013-07-09,24.656668,26.352499,0.0,39600.0,BW
2013-07-10,24.335833,25.7025,0.0,39600.0,BW
2013-07-11,19.673334,21.2525,0.0,39600.0,BW
