feature,importance
Promo,3570326784.0
StoreType_b,2867482880.0
Promo2,1508960384.0
Promo2SinceYear,1322622464.0
Assortment_a,1253269248.0
"PromoInterval_Mar,Jun,Sept,Dec",1211661312.0
Assortment_c,1176430336.0
BeforeHoliday,1143457536.0
AfterHoliday,1050824000.0
CompetitionOpenSinceMonth,993118336.0
CompetitionDistance,967547840.0
Store,861637312.0
CompetitionOpenSinceYear,846342208.0
Promo2SinceWeek,749894976.0
month,723251776.0
SchoolHoliday,701481792.0
StoreType_c,699669696.0
StoreType_a,668546624.0
"PromoInterval_Feb,May,Aug,Nov",558563264.0
"PromoInterval_Jan,Apr,Jul,Oct",546433152.0
DayOfWeek,528517056.0
IsFriday,479779200.0
day,459701440.0
IsHot,450367232.0
StoreType_d,420511104.0
WeekOfYear,404855520.0
Promo_Sunny,272778912.0
StateHoliday_0,221741312.0
Assortment_b,220460240.0
Promo_Temperature,190047344.0
PublicHoliday,186594624.0
UnemploymentRate,172836080.0
StateHoliday_b,130979176.0
GoogleTrend,128117192.0
year,108913080.0
Promo_Rainy,96326104.0
temperature_max,90517296.0
precipitation_sum,87175368.0
temperature_mean,82778720.0
TempRange,75648504.0
sunshine_sum,55804948.0
StateHoliday_a,40685140.0
StateHoliday_c,9732726.0
