model,variant,n_features,train_rows,valid_rows,weather,google_trends,unemployment,holidays,promo_weather,lags,rmspe,mae,r2,elapsed_seconds
linear_regression,weather__unemployment__holidays__lags,52,785781,58611,True,False,True,True,False,True,0.20259785266356087,1012.2507028816804,0.7656799662000524,1.3166013000300154
linear_regression,weather__holidays__lags,51,785781,58611,True,False,False,True,False,True,0.20293768675569332,1011.80898700385,0.7662050940893019,1.2624373000580817
linear_regression,weather__unemployment__holidays__promo_weather__lags,55,785781,58611,True,False,True,True,True,True,0.2034274230780762,1015.8972480776058,0.7643076623748846,1.4380619000876322
linear_regression,weather__holidays__promo_weather__lags,54,785781,58611,True,False,False,True,True,True,0.2037531884307089,1015.5048455952176,0.7647943082550638,1.3977764999726787
linear_regression,weather__unemployment__lags,49,785781,58611,True,False,True,False,False,True,0.20404578323410305,1009.5690465789293,0.7664337802463739,1.1373777999542654
linear_regression,weather__lags,48,785781,58611,True,False,False,False,False,True,0.20414335167418135,1009.555756949602,0.7665320434934867,1.075772100011818
linear_regression,weather__unemployment__promo_weather__lags,52,785781,58611,True,False,True,False,True,True,0.20482873513351169,1013.1920065317194,0.7652154339298148,1.349905199953355
linear_regression,weather__promo_weather__lags,51,785781,58611,True,False,False,False,True,True,0.2048953185878556,1013.1852226641378,0.7652811908989103,1.3448570999316871
linear_regression,weather__google_trends__unemployment__holidays__lags,53,785781,58611,True,True,True,True,False,True,0.20737854157346933,1012.5383886089484,0.766836082507016,1.4124591000145301
linear_regression,weather__google_trends__holidays__lags,52,785781,58611,True,True,False,True,False,True,0.20771171712627515,1012.0650242649241,0.7673469273580777,1.332182899932377
linear_regression,weather__google_trends__unemployment__holidays__promo_weather__lags,56,785781,58611,True,True,True,True,True,True,0.20815878626196044,1016.2192225768367,0.7654944728919592,1.470936800003983
linear_regression,weather__google_trends__holidays__promo_weather__lags,55,785781,58611,True,True,False,True,True,True,0.20847636808084616,1015.7967199268862,0.7659675014123455,1.4576898999512196
linear_regression,weather__google_trends__unemployment__lags,50,785781,58611,True,True,True,False,False,True,0.20870381109866393,1009.6905157721776,0.7675816157875114,1.2469911999069154
linear_regression,weather__google_trends__lags,49,785781,58611,True,True,False,False,False,True,0.20879051219817796,1009.6721599133842,0.7676684040616509,1.0825847999658436
linear_regression,weather__google_trends__unemployment__promo_weather__lags,53,785781,58611,True,True,True,False,True,True,0.2094352744800483,1013.359999862358,0.7663963059735691,1.4602715000510216
linear_regression,weather__google_trends__promo_weather__lags,52,785781,58611,True,True,False,False,True,True,0.20949089187812636,1013.3504714853553,0.7664510947427439,1.3415411000605673
linear_regression,unemployment__holidays__lags,43,785781,58611,False,False,True,True,False,True,0.2123577849301691,1029.802816200708,0.7657638601083934,0.9663960000034422
linear_regression,holidays__lags,42,785781,58611,False,False,False,True,False,True,0.21355089065651217,1031.6419100108692,0.7659488571923689,0.9325096999527887
linear_regression,unemployment__lags,40,785781,58611,False,False,True,False,False,True,0.21532770355780662,1033.0041561009011,0.7651303258881922,0.8765450000064448
linear_regression,lags,39,785781,58611,False,False,False,False,False,True,0.21600380401660355,1034.2936240065735,0.7651279819483027,0.8141265000449494
linear_regression,google_trends__unemployment__holidays__lags,44,785781,58611,False,True,True,True,False,True,0.21664275547066617,1029.3114179487636,0.7670622507121918,0.9846677999012172
linear_regression,google_trends__holidays__lags,43,785781,58611,False,True,False,True,False,True,0.21781650083315396,1031.0830394429609,0.7672424188185751,0.9038944999920204
linear_regression,google_trends__unemployment__lags,41,785781,58611,False,True,True,False,False,True,0.21949779357584223,1032.4298731024592,0.766400675181843,0.8512462000362575
linear_regression,google_trends__lags,40,785781,58611,False,True,False,False,False,True,0.2201554802466186,1033.674477572192,0.7663961979180689,0.8320302000502124
linear_regression,weather__holidays,48,785781,58611,True,False,False,True,False,False,0.4302177275793575,1914.1380046663517,0.27136905186410454,1.106353700044565
linear_regression,weather__google_trends__holidays,49,785781,58611,True,True,False,True,False,False,0.43117651948047814,1914.2760493279457,0.2718701357304366,1.1564897999633104
linear_regression,weather__holidays__promo_weather,51,785781,58611,True,False,False,True,True,False,0.4319326850212752,1916.2574840174814,0.27002138516557894,1.3114433999871835
linear_regression,weather__google_trends__holidays__promo_weather,52,785781,58611,True,True,False,True,True,False,0.4328458498747092,1916.3598885977224,0.2705338011929289,1.2983431000029668
linear_regression,weather,45,785781,58611,True,False,False,False,False,False,0.43835050724417485,1922.9005144456044,0.27167987875718713,1.035175499971956
linear_regression,weather__google_trends,46,785781,58611,True,True,False,False,False,False,0.43926134951086704,1923.0040848178744,0.2721689346213053,1.061841299990192
linear_regression,weather__unemployment__holidays,49,785781,58611,True,False,True,True,False,False,0.4393499478609586,1925.1462505423183,0.27164221865911553,1.1729003000073135
linear_regression,weather__promo_weather,48,785781,58611,True,False,False,False,True,False,0.4399531942904683,1924.975405939567,0.27040087824700765,1.0803269000025466
linear_regression,weather__google_trends__unemployment__holidays,50,785781,58611,True,True,True,True,False,False,0.4403229942206322,1925.2756804935857,0.27213944480867014,1.2487759999930859
linear_regression,weather__google_trends__promo_weather,49,785781,58611,True,True,False,False,True,False,0.44081885060218523,1925.0440623245713,0.270902400223915,1.133762100012973
linear_regression,weather__unemployment__holidays__promo_weather,52,785781,58611,True,False,True,True,True,False,0.4412278936270769,1927.515794124235,0.27032415577027824,1.339251699973829
linear_regression,weather__google_trends__unemployment__holidays__promo_weather,53,785781,58611,True,True,True,True,True,False,0.44215341639904393,1927.6095321560588,0.2708332774990706,1.4106214999919757
linear_regression,weather__unemployment,46,785781,58611,True,False,True,False,False,False,0.44992551183651763,1939.4196216342987,0.2701590726964087,1.0221236000070348
linear_regression,weather__google_trends__unemployment,47,785781,58611,True,True,True,False,False,False,0.4508543006877615,1939.5096173224294,0.2706373153200624,1.098713600076735
linear_regression,weather__unemployment__promo_weather,49,785781,58611,True,False,True,False,True,False,0.4516890742679499,1941.711179141869,0.26889817739281896,1.1280449000187218
linear_regression,weather__google_trends__unemployment__promo_weather,50,785781,58611,True,True,True,False,True,False,0.4525706494678396,1941.7613478457479,0.26938953660019416,1.298637600033544
linear_regression,holidays,39,785781,58611,False,False,False,True,False,False,0.4616779064558391,1951.6629747030363,0.2705510222308779,0.809755599941127
linear_regression,google_trends__holidays,40,785781,58611,False,True,False,True,False,False,0.46254467839947117,1951.6237878158736,0.2710815884905786,0.8770829000277445
linear_regression,unemployment__holidays,40,785781,58611,False,False,True,True,False,False,0.4713110804317754,1969.1179445858588,0.26662516679133064,0.8161743000382558
linear_regression,base,36,785781,58611,False,False,False,False,False,False,0.4717442322412775,1968.0967626234817,0.2671601563411441,0.7480726999929175
linear_regression,google_trends__unemployment__holidays,41,785781,58611,False,True,True,True,False,False,0.4721846972009097,1969.0833862154063,0.2671444980809744,0.8488832999719307
linear_regression,google_trends,37,785781,58611,False,True,False,False,False,False,0.4725679885454534,1968.05530096503,0.2676585149606894,0.7428684999467805
linear_regression,unemployment,37,785781,58611,False,False,True,False,False,False,0.4842067448360427,1993.0758441116468,0.2602581267309598,0.7904245000099763
linear_regression,google_trends__unemployment,38,785781,58611,False,True,True,False,False,False,0.4850413638774115,1993.0677887368847,0.26073730337108303,0.7951393000548705
random_forest,weather__holidays__lags,51,785781,58611,True,False,False,True,False,True,0.1428955375317971,682.8379399490933,0.8985608821587667,130.05288430000655
random_forest,weather__google_trends__holidays__lags,52,785781,58611,True,True,False,True,False,True,0.1432428383631463,683.2955988590718,0.8983443786916885,122.59587900002953
random_forest,holidays__lags,42,785781,58611,False,False,False,True,False,True,0.143338243151969,687.4023175859846,0.8969758346376251,85.81834019999951
random_forest,google_trends__holidays__lags,43,785781,58611,False,True,False,True,False,True,0.1434875758735093,687.4400931989317,0.8969433859070489,87.79378389997873
